incident_id,event,timestamp,active,reassignment_count,reopen_count,sys_mod_count,made_sla,caller_id,opened_by,opened_at,sys_created_by,sys_created_at,sys_updated_by,contact_type,location,category,subcategory,u_symptom,cmdb_ci,impact,urgency,priority,assignment_group,assigned_to,knowledge,u_priority_confirmation,notify,problem_id,rfc,vendor,caused_by,closed_code,resolved_by,resolved_at,closed_at,duration_phase,preproc_priority,preproc_impact,preproc_urgency
INC0000092,A,29/2/2016 08:55,True,0,0,0,True,Caller 1811,Opened by  40,29/2/2016 08:55,?,?,Updated by 908,Phone,Location 172,Category 53,Subcategory 271,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,Group 27,?,True,False,Do Not Notify,?,?,?,?,code 5,Resolved by 99,7/3/2016 08:45,12/3/2016 09:00,1.2,2,2,2
INC0000092,A,29/2/2016 10:07,True,0,0,1,True,Caller 1811,Opened by  40,29/2/2016 08:55,?,?,Updated by 451,Phone,Location 172,Category 53,Subcategory 271,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,Group 27,?,True,False,Do Not Notify,Problem ID  2,?,?,?,code 5,Resolved by 99,7/3/2016 08:45,12/3/2016 09:00,3.8,2,2,2
INC0000092,A,29/2/2016 13:55,True,1,0,2,True,Caller 1811,Opened by  40,29/2/2016 08:55,?,?,Updated by 336,Phone,Location 172,Category 53,Subcategory 271,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,Group 72,?,True,False,Do Not Notify,Problem ID  2,?,?,?,code 5,Resolved by 99,7/3/2016 08:45,12/3/2016 09:00,162.83,2,2,2
INC0000092,R,7/3/2016 08:45,True,1,0,5,True,Caller 1811,Opened by  40,29/2/2016 08:55,?,?,Updated by 402,Phone,Location 172,Category 53,Subcategory 271,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,Group 72,?,True,False,Do Not Notify,Problem ID  2,?,?,?,code 5,Resolved by 99,7/3/2016 08:45,12/3/2016 09:00,120.25,2,2,2
INC0000092,C,12/3/2016 09:00,False,1,0,6,False,Caller 1811,Opened by  40,29/2/2016 08:55,?,?,Updated by 908,Phone,Location 172,Category 53,Subcategory 271,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,Group 72,?,True,False,Do Not Notify,Problem ID  2,?,?,?,code 5,Resolved by 99,7/3/2016 08:45,12/3/2016 09:00,0.0,2,2,2
INC0000161,N,29/2/2016 10:30,True,0,0,0,True,Caller 3007,Opened by  180,29/2/2016 10:18,Created by 81,29/2/2016 10:30,Updated by 340,Phone,Location 55,Category 37,Subcategory 135,Symptom 529,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 31,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 30,8/3/2016 09:22,24/3/2016 18:40,0.03,2,2,2
INC0000161,N,29/2/2016 10:32,True,0,0,1,True,Caller 3007,Opened by  180,29/2/2016 10:18,Created by 81,29/2/2016 10:30,Updated by 340,Phone,Location 55,Category 37,Subcategory 135,Symptom 529,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 31,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 30,8/3/2016 09:22,24/3/2016 18:40,0.12,2,2,2
INC0000161,N,29/2/2016 10:39,True,0,0,2,True,Caller 3007,Opened by  180,29/2/2016 10:18,Created by 81,29/2/2016 10:30,Updated by 340,Phone,Location 55,Category 37,Subcategory 135,Symptom 529,?,1 - High,2 - Medium,2 - High,Group 70,Resolver 31,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 30,8/3/2016 09:22,24/3/2016 18:40,14.73,3,3,2
INC0000161,N,1/3/2016 01:23,True,1,0,3,True,Caller 3007,Opened by  180,29/2/2016 10:18,Created by 81,29/2/2016 10:30,Updated by 746,Phone,Location 55,Category 37,Subcategory 135,Symptom 529,?,1 - High,2 - Medium,2 - High,Group 25,Resolver 31,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 30,8/3/2016 09:22,24/3/2016 18:40,37.13,3,3,2
INC0000161,N,2/3/2016 14:31,True,2,0,4,True,Caller 3007,Opened by  180,29/2/2016 10:18,Created by 81,29/2/2016 10:30,Updated by 213,Phone,Location 55,Category 37,Subcategory 135,Symptom 529,?,1 - High,2 - Medium,2 - High,Group 29,Resolver 31,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 30,8/3/2016 09:22,24/3/2016 18:40,21.52,3,3,2
INC0000161,N,3/3/2016 12:02,True,2,0,5,True,Caller 3007,Opened by  180,29/2/2016 10:18,Created by 81,29/2/2016 10:30,Updated by 135,Phone,Location 55,Category 37,Subcategory 135,Symptom 529,?,3 - Low,3 - Low,4 - Low,Group 29,Resolver 31,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 30,8/3/2016 09:22,24/3/2016 18:40,2.37,1,1,1
INC0000161,N,3/3/2016 14:24,True,2,0,6,True,Caller 3007,Opened by  180,29/2/2016 10:18,Created by 81,29/2/2016 10:30,Updated by 135,Phone,Location 55,Category 37,Subcategory 135,Symptom 529,?,3 - Low,3 - Low,4 - Low,Group 29,Resolver 31,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 30,8/3/2016 09:22,24/3/2016 18:40,0.0,1,1,1
INC0000161,W,3/3/2016 14:24,True,2,0,7,True,Caller 3007,Opened by  180,29/2/2016 10:18,Created by 81,29/2/2016 10:30,Updated by 135,Phone,Location 55,Category 37,Subcategory 135,Symptom 529,?,3 - Low,3 - Low,4 - Low,Group 29,Resolver 31,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 30,8/3/2016 09:22,24/3/2016 18:40,114.97,1,1,1
