incident_id,event,timestamp,active,reassignment_count,reopen_count,sys_mod_count,made_sla,caller_id,opened_by,opened_at,sys_created_by,sys_created_at,sys_updated_by,contact_type,location,category,subcategory,u_symptom,cmdb_ci,impact,urgency,priority,assignment_group,assigned_to,knowledge,u_priority_confirmation,notify,problem_id,rfc,vendor,caused_by,closed_code,resolved_by,resolved_at,closed_at,preproc_priority,preproc_impact,preproc_urgency,duration_process,gt1,gt2,gt3,gt4
INC0000092,C,12/3/2016 09:00,False,1,0,6,False,Caller 1811,Opened by  40,29/2/2016 08:55,?,?,Updated by 908,Phone,Location 172,Category 53,Subcategory 271,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,Group 72,?,True,False,Do Not Notify,Problem ID  2,?,?,?,code 5,Resolved by 99,7/3/2016 08:45,12/3/2016 09:00,2,2,2,288.08000000000004,10.68,53.4,576,10.68
INC0000161,C,24/3/2016 18:40,False,2,0,11,False,Caller 3007,Opened by  180,29/2/2016 10:18,Created by 81,29/2/2016 10:30,Updated by 908,Phone,Location 55,Category 37,Subcategory 135,Symptom 529,?,3 - Low,3 - Low,4 - Low,Group 29,Resolver 31,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 30,8/3/2016 09:22,24/3/2016 18:40,1,1,1,584.1700000000001,16.02,72.09,1753,8.01
INC0000167,C,5/3/2016 12:00,False,0,0,3,True,Caller 649,Opened by  24,29/2/2016 10:27,?,?,Updated by 908,Phone,Location 108,Category 20,Subcategory 125,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 17,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 15,29/2/2016 11:02,5/3/2016 12:00,2,2,2,121.55,16.02,32.04,122,5.34
INC0000259,C,7/3/2016 11:00,False,1,0,9,True,Caller 5182,Opened by  62,29/2/2016 12:50,Created by 33,29/2/2016 13:15,Updated by 908,Phone,Location 108,Category 9,Subcategory 164,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 27,Resolver 170,True,False,Do Not Notify,?,?,?,?,code 11,Resolved by 153,2/3/2016 10:39,7/3/2016 11:00,2,2,2,165.75,42.72,74.75999999999999,332,10.68
INC0000272,C,24/3/2016 18:40,False,4,0,12,False,Caller 4167,Opened by  221,29/2/2016 13:36,Created by 98,29/2/2016 13:46,Updated by 908,Phone,Location 143,Category 42,Subcategory 31,Symptom 4,?,3 - Low,2 - Medium,4 - Low,Group 39,?,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 166,8/3/2016 15:35,24/3/2016 18:40,1,1,2,580.9,40.05,106.8,2904,13.35
INC0000315,C,24/3/2016 18:40,False,1,0,6,False,Caller 99,Opened by  386,29/2/2016 14:37,?,?,Updated by 908,Phone,Location 51,Category 23,Subcategory 3,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 72,?,True,False,Do Not Notify,?,?,?,?,code 16,Resolved by 99,7/3/2016 09:12,24/3/2016 18:40,2,2,2,580.05,42.72,64.08,1160,10.68
INC0000345,C,6/3/2016 17:00,False,2,0,8,True,Caller 3864,Opened by  301,29/2/2016 15:17,Created by 129,29/2/2016 15:20,Updated by 908,Phone,Location 93,Category 24,Subcategory 164,Symptom 6,?,2 - Medium,2 - Medium,3 - Moderate,Group 23,?,True,False,Do Not Notify,?,?,?,?,code 7,Resolved by 121,1/3/2016 16:00,6/3/2016 17:00,2,2,2,145.67,64.08,96.12,437,16.02
INC0000419,C,28/3/2016 14:59,False,0,0,10,False,Caller 4197,Opened by  239,29/2/2016 18:36,Created by 107,29/2/2016 18:44,Updated by 908,Phone,Location 204,Category 53,Subcategory 303,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 125,True,True,Do Not Notify,?,?,?,?,code 5,Resolved by 113,23/3/2016 14:37,28/3/2016 14:59,2,2,2,668.25,21.36,26.7,668,5.34
INC0000440,C,6/3/2016 22:00,False,3,0,5,True,Caller 2201,Opened by  305,29/2/2016 21:54,Created by 130,29/2/2016 21:57,Updated by 908,Phone,Location 161,Category 53,Subcategory 80,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 56,?,True,False,Do Not Notify,?,?,?,?,code 5,Resolved by 149,1/3/2016 21:04,6/3/2016 22:00,2,2,2,144.04000000000002,106.8,192.24,576,21.36
INC0000491,C,6/3/2016 06:00,False,0,0,3,True,Caller 5613,Opened by  443,1/3/2016 05:04,?,?,Updated by 908,Phone,Location 204,Category 45,Subcategory 29,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 3,Resolved by 189,1/3/2016 05:50,6/3/2016 06:00,2,2,2,120.94,21.36,48.06,121,5.34
INC0000550,C,8/3/2016 16:00,False,2,0,11,True,Caller 1009,Opened by  131,1/3/2016 09:23,?,?,Updated by 908,Phone,Location 143,Category 9,Subcategory 164,Symptom 4,?,2 - Medium,3 - Low,4 - Low,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 175,3/3/2016 15:51,8/3/2016 16:00,1,2,1,174.63,80.1,96.12,524,16.02
INC0000594,C,24/3/2016 18:59,False,0,0,13,False,Caller 92,Opened by  9,1/3/2016 10:16,Created by 5,1/3/2016 11:03,Updated by 908,Phone,Location 204,Category 55,Subcategory 170,Symptom 107,?,2 - Medium,2 - Medium,3 - Moderate,Group 65,Resolver 7,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 6,17/3/2016 11:11,24/3/2016 18:59,2,2,2,559.9300000000001,10.68,48.06,560,5.34
INC0000676,C,8/3/2016 09:00,False,3,0,8,True,Caller 5431,Opened by  301,1/3/2016 12:09,Created by 129,1/3/2016 12:26,Updated by 908,Phone,Location 51,Category 45,Subcategory 229,Symptom 276,?,2 - Medium,2 - Medium,3 - Moderate,Group 6,Resolver 247,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 226,3/3/2016 08:46,8/3/2016 09:00,2,2,2,164.57,64.08,149.51999999999998,658,21.36
INC0000708,C,6/3/2016 16:00,False,1,0,5,True,Caller 1799,Opened by  386,1/3/2016 12:46,Created by 167,1/3/2016 12:48,Updated by 908,Phone,Location 161,Category 37,Subcategory 135,Symptom 4,?,2 - Medium,2 - Medium,3 - Moderate,Group 55,Resolver 214,True,False,Do Not Notify,?,?,?,?,code 9,Resolved by 195,1/3/2016 15:07,6/3/2016 16:00,2,2,2,123.19999999999999,42.72,64.08,246,10.68
INC0000742,C,6/3/2016 15:00,False,0,0,2,True,Caller 2508,Opened by  386,1/3/2016 13:46,?,?,Updated by 908,Phone,Location 161,Category 32,Subcategory 9,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 186,True,False,Do Not Notify,?,?,?,?,code 7,Resolved by 169,1/3/2016 14:00,6/3/2016 15:00,2,2,2,121.23,21.36,48.06,121,5.34
INC0000765,C,24/3/2016 18:59,False,7,0,18,False,Caller 3729,?,1/3/2016 14:39,Created by 89,1/3/2016 14:44,Updated by 908,Phone,Location 112,Category 9,Subcategory 164,Symptom 134,?,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 57,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 53,17/3/2016 08:41,24/3/2016 18:59,2,2,2,556.26,170.88,384.48,4450,42.72
