incident_id,event,timestamp,active,reassignment_count,reopen_count,sys_mod_count,made_sla,caller_id,opened_by,opened_at,sys_created_by,sys_created_at,sys_updated_by,contact_type,location,category,subcategory,u_symptom,cmdb_ci,impact,urgency,priority,assignment_group,assigned_to,knowledge,u_priority_confirmation,notify,problem_id,rfc,vendor,caused_by,closed_code,resolved_by,resolved_at,closed_at,preproc_priority,preproc_impact,preproc_urgency,duration_process
INC0000057,C,6/3/2016 03:00,False,0.0,0.0,6.0,True,Caller 4416,Opened by  8,29/2/2016 06:10,?,?,Updated by 908,Phone,Location 204,Category 20,Subcategory 125,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 6,True,False,Do Not Notify,Problem ID  2,?,?,?,code 10,Resolved by 5,1/3/2016 02:55,6/3/2016 03:00,2.0,2.0,2.0,140.57
INC0000063,C,5/3/2016 17:00,False,1.0,0.0,7.0,True,Caller 2146,Opened by  180,29/2/2016 07:08,Created by 81,29/2/2016 07:17,Updated by 908,Phone,Location 93,Category 20,Subcategory 125,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 23,?,True,False,Do Not Notify,?,?,?,?,code 7,Resolved by 62,29/2/2016 16:01,5/3/2016 17:00,2.0,2.0,2.0,129.72
INC0000073,C,6/3/2016 16:00,False,1.0,0.0,6.0,True,Caller 2519,Opened by  40,29/2/2016 08:22,Created by 20,29/2/2016 08:30,Updated by 908,Phone,Location 42,Category 53,Subcategory 271,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,Group 54,?,True,False,Do Not Notify,Problem ID  2,?,?,?,code 11,Resolved by 208,1/3/2016 15:37,6/3/2016 16:00,2.0,2.0,1.0,151.49
INC0000076,C,5/3/2016 17:00,False,0.0,0.0,2.0,True,Caller 2949,Opened by  180,29/2/2016 08:25,Created by 81,29/2/2016 08:29,Updated by 908,Phone,Location 93,Category 42,Subcategory 224,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,Group 23,?,True,False,Do Not Notify,?,?,?,?,code 5,Resolved by 62,29/2/2016 16:27,5/3/2016 17:00,2.0,2.0,2.0,128.52
INC0000077,C,5/3/2016 10:00,False,0.0,0.0,5.0,True,Caller 3304,Opened by  180,29/2/2016 08:27,?,?,Updated by 908,Phone,Location 108,Category 32,Subcategory 9,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 85,29/2/2016 09:04,5/3/2016 10:00,2.0,2.0,2.0,121.55000000000001
INC0000083,C,5/3/2016 17:00,False,1.0,0.0,4.0,True,Caller 4866,Opened by  131,29/2/2016 08:39,Created by 62,29/2/2016 08:56,Updated by 908,Phone,Location 93,Category 24,Subcategory 164,Symptom 583,?,3 - Low,3 - Low,4 - Low,Group 23,?,True,False,Do Not Notify,Problem ID  2,?,?,?,code 7,Resolved by 62,29/2/2016 16:05,5/3/2016 17:00,1.0,1.0,1.0,128.06
INC0000092,C,12/3/2016 09:00,False,1.0,0.0,6.0,False,Caller 1811,Opened by  40,29/2/2016 08:55,?,?,Updated by 908,Phone,Location 172,Category 53,Subcategory 271,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,Group 72,?,True,False,Do Not Notify,Problem ID  2,?,?,?,code 5,Resolved by 99,7/3/2016 08:45,12/3/2016 09:00,2.0,2.0,2.0,288.08000000000004
INC0000101,C,5/3/2016 12:00,False,0.0,0.0,6.0,True,Caller 1892,Opened by  180,29/2/2016 09:05,Created by 81,29/2/2016 09:13,Updated by 908,Phone,Location 143,Category 55,Subcategory 170,Symptom 273,?,2 - Medium,3 - Low,4 - Low,Group 65,Resolver 180,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 163,29/2/2016 11:00,5/3/2016 12:00,1.0,2.0,1.0,122.79
INC0000124,C,5/3/2016 12:00,False,0.0,0.0,3.0,True,Caller 4907,Opened by  40,29/2/2016 09:30,Created by 20,29/2/2016 09:39,Updated by 908,Phone,Location 108,Category 53,Subcategory 271,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,Group 33,Resolver 159,True,False,Do Not Notify,?,?,?,?,code 7,Resolved by 143,29/2/2016 11:05,5/3/2016 12:00,2.0,2.0,2.0,122.36
INC0000129,C,27/3/2016 13:59,False,2.0,0.0,17.0,False,Caller 5340,Opened by  180,29/2/2016 09:40,Created by 81,29/2/2016 09:48,Updated by 908,Phone,Location 135,Category 23,Subcategory 75,Symptom 4,?,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 253,True,True,Do Not Notify,?,?,?,?,code 6,Resolved by 231,22/3/2016 13:30,27/3/2016 13:59,2.0,2.0,1.0,652.1800000000001
